Tiefe/mu*s;Streuintensitaetswert 1000*v^2/s;Geschwindigkeit cm/s
12;23;0
12,5;64;47,8
13;241;47,8
13,5;412;55,7
14;717;63,7
14,5;801;76,9
15;980;87,5
15,5;894;95,5
16;1068;103,5
16,5;1103;103,5
17;1152;90,2
17,5;1010;84,9
18;1090;76,9
18,5;941;84,9
19;762;90,2
19,5;601;90,2
